study_id,caso,meccanismo,motivo
GSE147493,C,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""M1 oligo Metastasis"" contro ""M0 oligo"": le sigle non dicono cosa distingua i due bracci, non si puo' stabilire se toglierlo sia guadagno o perdita."
GSE147507,B,lo studio entra o esce dal pooling,"ENTRATO: quattro confronti appaiati per linea e per tempo ('A549 SARS-CoV-2 MOI 2 24h' vs 'A549 Mock treatment 24h', 'Calu-3 ...' , 'NHBE ...'). Il nuovo aggiunge materiale pulito che il vecchio non poolava."
GSE147699,C,solo la formulazione dell etichetta cambia,Stesso contrasto con l'inserto WTp53 su entrambi i bracci; cambia la sola punteggiatura.
GSE147816,A,l appaiamento del braccio di controllo cambia,"Il riferimento aveva due coppie esplicitamente appaiate nel tempo (1h contro 60 min, 6h contro 6h); ora resta una sola coppia e il controllo perde il tempo. Si perde un confronto pulito e l'informazione che ne permetteva la verifica."
GSE147876,A,l appaiamento del braccio di controllo cambia,Nel riferimento i tre confronti erano auto-appaiati (`Prostate Carcinoma Cell Line Castration-Resistant Enzalutamide Treated` → `... Vehicle Control`); ora il terzo e' `MR42F Enzalutamide` → `MR42D Vehicle`. Il nuovo introduce un incrocio di linea che il vecchio non aveva.
GSE148241,C,altro,"'EOSPE Placenta (Replicate 1)' ora, '(Replicates 1-2)' prima: cambia quante repliche l'etichetta nomina, il contrasto placenta-contro-placenta e' identico."
GSE148342,C,lo studio cambia gruppo / entita,"Spostato: prima i contrasti nutlin-3a e palbociclib dello stesso studio, ora quello tunicamicina, tutti contro lo stesso 'Control (no treatment)'. Confronti diversi dello stesso studio multi-composto, tutti difendibili."
GSE148389,C,lo studio entra o esce dal pooling,"ENTRATO con un caso-controllo di per se' difendibile, ma il controllo ""Healthy Brain (Age 14)"" compare due volte con composizione diversa (n=6 e n=42): l'etichetta non identifica l'insieme dei campioni, quindi non posso preferire l'assegnazione nuova a quella vecchia (non poolato)."
GSE148697,C,solo la formulazione dell etichetta cambia,"Stesso contrasto: ora 'SARS-CoV-2-infected Hesc cells (lung)' vs 'Mock-treated Hesc cells (lung)', prima le stesse due etichette senza '(lung)'. Solo specificazione."
GSE148767,C,l appaiamento del braccio di controllo cambia,"Stessi tre confronti appaiati per linea (M010817, M921); nel riferimento due portavano il marcatore '(duplicate)'. Nulla nell'etichetta permette di preferire una lettura."
GSE148806,A,lo studio entra o esce dal pooling,"USCITO; erano 'R1-AD1 shCon DHT' contro 'R1-AD1 shCon ethanol' e 'R1-AD1 shKLF5-2 DHT' contro 'R1-AD1 shKLF5-2 ethanol', appaiati sul costrutto."
GSE148985,C,altro,"Nel riferimento due confronti, uno dei quali con il formato di coltura solo sul trattato ('... - epidermal cell sheets' vs 'Untreated human keratinocytes - replicate'); ora uno solo, 'NaHS 0.25 mM 24h' (n=4) vs 'Untreated (control)' (n=2), senza alcun formato dichiarato. Quattro trattati sono compatibili sia con l'eliminazione di uno dei due bracci sia con la loro fusione: il materiale non permette di dire se l'asimmetria sia stata tolta o resa invisibile."
GSE149262,A,l appaiamento del braccio di controllo cambia,"Nel riferimento i due confronti erano appaiati e senza passaggi discordanti ('DLD-1 KRAS WT IL-22 10ng/mL 24h' contro 'DLD-1 KRAS WT untreated 24h', e lo stesso a 2h); il nuovo introduce 'passage 6' contro 'passage 7' dentro lo stesso confronto."
GSE149280,C,altro,"1 confronto ora, 2 identici fra loro nel riferimento. Entrambe le versioni pulite; dalle etichette non si stabilisce se il riferimento contasse due insiemi distinti o lo stesso due volte."
GSE149640,C,altro,"Cambia solo la maiuscola ('progesterone' contro 'Progesterone'): stesso confronto, etanolo costante sui due bracci in entrambe le esecuzioni."
GSE150683,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito (`T47D + estradiol` → `T47D + vehicle`).
GSE150819,C,solo la formulazione dell etichetta cambia,"'human bronchial organoids SARS-CoV-2' vs 'human bronchial organoids' contro 'Human bronchial organoids, SARS-CoV-2' vs '..., no treatment'. Stesso contrasto."
GSE150851,C,l appaiamento del braccio di controllo cambia,Il riferimento appaiava ogni caso a un donatore sano nominato ('Donor 7300' contro 'Donor 6532' ecc.); ora cinque 'Psoriasis Case N' vanno tutti contro lo stesso 'Healthy Control 1'. In un caso-controllo entrambe le scelte sono legittime; la nuova e' meno informativa e riusa cinque volte lo stesso controllo.
GSE150893,C,solo la formulazione dell etichetta cambia,Sola riscrittura della dose/tempo; stesso controllo 'control untreated'.
GSE151159,C,l appaiamento del braccio di controllo cambia,"Entrambe appaiate: ora per fenotipo («Resistant CLL, Dasatinib» vs «Resistant CLL, Control»), nel riferimento per donatore («Dasatinib-treated (Donor A)» vs «Untreated (Donor A)»)."
GSE151610,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento due coppie pulite (""Hypoxia + Vector Control"" contro ""Vector Control + Normoxia"", ""Hypoxia Only"" contro ""Normoxia Only""): perdita netta."
GSE151796,C,altro,"Etichette equivalenti nelle due esecuzioni (organoide intestinale e polmonare, LPS contro untreated)."
GSE151803,A,l appaiamento del braccio di controllo cambia,"Nel riferimento un solo confronto, appaiato per materiale su entrambi i bracci ('Liver Organoid sars-Cov2' vs 'Liver Organoid Mock'). Ora due, con un unico 'hESC Mock' che serve 'COVID-19 Lung' e 'hESC sars-Cov2': il nuovo introduce l'appaiamento non verificabile che il vecchio non aveva."
GSE151854,A,lo studio entra o esce dal pooling,"USCITO: «TNFα stimulated (50 ng/mL, 3h) in HUVECs from umbilical cord» vs «Untreated control» e' pulito e appaiato, e ora non e' poolato in nessuna meta-analisi."
GSE151879,C,l appaiamento del braccio di controllo cambia,"Ora due confronti appaiati (cardiomiociti adulti e da hESC); nel riferimento gli stessi due piu' 'Macrophages SARS-CoV-2' vs 'Macrophages Mock', anch'esso appaiato. Il nuovo copre di meno, nessuno dei due sbaglia."
GSE152004,A,altro,"Nel riferimento lo studio portava un solo confronto, pulito ('Asthmatic pooled' → 'Healthy control'); il nuovo ne aggiunge uno che dichiara una perturbazione a piccola molecola sul solo braccio malato. Il nuovo sbaglia dove il vecchio azzeccava."
GSE152360,C,l appaiamento del braccio di controllo cambia,"Stesso confronto ('12h' scritto '12hrs'), stesso controllo 'MCF7 Full Media' in entrambi i run: equivalenti."
GSE152705,A,lo studio entra o esce dal pooling,USCITO: 'Mel202 + Trametinib' vs 'Mel202 + DMSO' era pulita e appaiata per linea; ora non e' poolata.
GSE152816,A,lo studio entra o esce dal pooling,USCITO: 'Bortezomib-treated Leukemia Cells' vs 'DMSO-treated Leukemia Cells' era pulita; ora non e' poolata.
GSE153183,C,solo la formulazione dell etichetta cambia,'PC9 cells treated with Osimertinib' vs 'PC9 cells treated with DMSO' contro 'PC9 + Osimertinib' vs 'PC9 + DMSO': stessa coppia riscritta.
GSE153277,C,lo studio entra o esce dal pooling,"USCITO: erano 'SARS-CoV-2 MOI 140 1dpi' e '4days' contro un unico 'Control (CK+DCI)', e il trattato non dichiarava CK+DCI. L'etichetta non basta per dire se l'assegnazione vecchia fosse corretta."
GSE153303,C,il tempo o la dose vengono dichiarati o persi,"1 confronto ora ('DRB 25 ug/ml' vs 'DMSO'), 2 nel riferimento (c'era anche la dose a 10 ug/ml contro lo stesso veicolo). Entrambe le dosi sono confronti puliti: differenza di sola copertura, il nuovo perde il braccio a dose bassa."
GSE153740,C,altro,"Il riferimento dichiarava il tessuto su entrambi i bracci ('Eutopic endometrium with Ovarian endometriosis' contro 'Eutopic endometrium Healthy'), il nuovo run no. Nessuna delle due etichette mostra un disallineamento: la nuova e' solo meno verificabile, e l'etichetta non basta per preferirne una."
GSE153867,C,altro,"Stesso confronto, il controllo passa da 'A2780 Control' a 'A2780 untreated': equivalenti."
GSE154311,C,altro,"Solo riordino delle parole: 'CD16High COVID-19' vs 'Normal Density Neutrophils Healthy' diventa 'COVID-19 CD16High' vs 'Healthy NDN'. Il difetto e' identico nelle due esecuzioni, quindi nessuna delle due assegnazioni e' preferibile: e' l'etichetta sorgente a definire i bracci su assi diversi."
GSE154377,C,l appaiamento del braccio di controllo cambia,"Cambia quale asse dello studio viene poolato: il nuovo prende i trimestri (""Gestational Diabetes 2nd Trimester"" vs ""Normal Pregnancy 2nd Trimester""), il riferimento prendeva il sangue cordonale appaiato per paziente (""Gestational Diabetes Cord Blood Patient 1"" vs ""Normal Pregnancy Cord Blood Patient 1""). Entrambe le letture sono appaiate - la vecchia lo era addirittura per paziente - e l'etichetta non dice quale sia la resa fedele del disegno."
GSE154427,C,solo la formulazione dell etichetta cambia,"Stesso contrasto, cambia la sola punteggiatura dell'etichetta."
GSE154926,A,lo studio entra o esce dal pooling,USCITO. Il riferimento poolava 'Minor salivary glands (Primary Sjogren's syndrome)' contro 'Minor salivary glands (Healthy volunteer)': tessuto appaiato e materiale piu' pertinente alla malattia di tutti gli altri del gruppo. Ora non e' poolato in nessuna meta-analisi.
GSE155001,B,l appaiamento del braccio di controllo cambia,"Il riferimento poolava il solo braccio shHDAC5; ora entra anche 'shNC + Palbociclib (rep2)' vs 'shNC + DMSO', appaiato sullo stesso sfondo genetico. Un contrasto in piu', nessun difetto in piu'."
GSE155141,B,altro,"Nel riferimento lo stesso studio stava sotto HGNC:5991 (IL1A) con l'etichetta ""Non-lesional human skin, IL-1beta stimulated"": l'etichetta dice IL-1beta, quindi la chiave IL1B di oggi e' quella giusta e la vecchia sbagliava entita'."
GSE155272,C,solo la formulazione dell etichetta cambia,Sola riscrittura; il donatore M220 compare sui due bracci in entrambe le esecuzioni.
GSE155336,C,altro,"Il nuovo run porta due righe con etichette e numerosita' IDENTICHE, il riferimento una sola. L'etichetta non distingue i due bracci: non si puo' dire se il secondo sia un braccio legittimo o una duplicazione. Scelgo la lettura che non sovrastima e lo dichiaro come raddoppio di peso."
GSE155452,C,il tempo o la dose vengono dichiarati o persi,"Il trattato perde la dose (""Romidepsin (25 ng/mL)"" diventa ""Romidepsin""), il controllo e' identico: differenza di sola annotazione."
GSE155518,C,altro,'Infected with SARS-CoV-2' vs 'Mock-infected' contro 'Infected with SARS-CoV2' vs 'Mock-infected'. Sola grafia.
GSE155800,C,altro,"Stesso identico confronto, cambia solo la maiuscola di 'imatinib'."
GSE155832,C,l appaiamento del braccio di controllo cambia,Stessi quattro confronti co-coltura/monocoltura con partner appaiato; il controllo passa da 'control' a 'vehicle control'.
GSE155918,A,lo studio entra o esce dal pooling,USCITO: tre coppie appaiate nel tempo (4h e 24h contro veicolo dello stesso tempo) perse.
GSE155923,C,solo la formulazione dell etichetta cambia,"Solo formulazione (`Everolimus-treated SCLC cells` → `Vehicle-treated SCLC cells` contro `Everolimus` → `Vehicle`): stesso contrasto, la nuova dice di piu'."
GSE156038,C,solo la formulazione dell etichetta cambia,"Sola perdita di specificita' nell'etichetta: ora 'bleomycin' vs 'control', prima 'bleomycin (prostate)' vs 'control'. Stesso contrasto."
GSE156067,C,l appaiamento del braccio di controllo cambia,"In entrambe le coppie sono appaiate sul giorno (ora Day 12 e Day 3, prima Day 3 e Day 7); l'etichetta non dice quale coppia di giorni sia la giusta."
GSE156184,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'bleomycin' vs 'control' contro 'Bleomycin (Replicates)' vs 'Control'.
GSE157069,A,lo studio cambia gruppo / entita,"USCITO e riassegnato a CHEBI:27899 e CHEBI:29699. L'unica etichetta disponibile, 'MDA-MB-231 (transgene stable) + doxorubicin' contro '... + control', e' doxorubicina su fondo costante: apparteneva a questo gruppo."
GSE157086,A,lo studio entra o esce dal pooling,"USCITO. Nel riferimento 'Breast Cancer' contro 'Healthy Control', caso-controllo leggibile: perdita per omissione."
GSE157104,C,solo la formulazione dell etichetta cambia,"Stesse due coppie, solo riscritte ('VCaP_DHT_24hr' -> 'VCaP cells treated with DHT for 24 hours'); il controllo non datato del braccio a 10 ore c'e' in entrambi i run."
GSE157214,B,lo studio entra o esce dal pooling,Entrato: nel riferimento non era poolato in nessuna meta-analisi. 'abemaciclib' vs 'DMSO' e' un contrasto pulito e pertinente all'entita': recupero di un'omissione.
GSE157300,C,l appaiamento del braccio di controllo cambia,"Tre confronti in entrambe, appaiati tempo per tempo; cambia solo il prefisso della linea nell'etichetta ('HCT116 5-FU 6h' vs 'HCT116 DMSO 6h' contro '5-FU 6h' vs 'DMSO 6h')."
GSE157371,A,lo studio entra o esce dal pooling,"ENTRATO con ""RKO Hypoxia"" contro ""RKO Normoxia SETX+"": il riferimento non poolava lo studio e quindi non portava dentro il marcatore genetico asimmetrico."
GSE157428,B,lo studio entra o esce dal pooling,"Entrato: nel riferimento non era poolato. L'asse DM1-contro-controllo e' leggibile ('DM1_B'/'DM1_D' contro 'Control_1') e nessuna asimmetria di braccio e' scritta, con la riserva che i suffissi sono muti e i due bracci condividono lo stesso controllo."
GSE157725,B,lo studio entra o esce dal pooling,"ENTRATO con ""Pladienolide B"" vs ""DMSO"", coppia farmaco/veicolo elementare e priva di difetti."
GSE157927,A,lo studio entra o esce dal pooling,"USCITO; era 'Pancreatic cancer cell line THZ1' contro 'Pancreatic cancer cell line DMSO', appaiato."
GSE158119,C,l appaiamento del braccio di controllo cambia,"Il nuovo aggiunge 'MM074 + THZ1' contro 'MM074 + vehicle' al gia' presente MM047, entrambi appaiati: differenza di potenza."
GSE158552,C,lo studio entra o esce dal pooling,"Entrato. Il contrasto JQ1 vs DMSO in HepG2 e' pertinente, ma il trattato dichiara '(differentiated)' e il controllo occupa la parentesi col ruolo: l'etichetta non stabilisce se l'ingresso sia guadagno o materiale disallineato."
GSE158557,C,altro,"Sottoinsiemi diversi di costrutti (ora ARQ640X e ARWT, prima ARV7/ARWT/EGFP) ma in tutti i casi DHT contro veicolo dello STESSO costrutto: entrambe difendibili."
GSE158674,B,lo studio entra o esce dal pooling,"Il gruppo e' nuovo: nel riferimento lo studio non era poolato. Entra con ""GBM39 cells treated with Fluoxetine (2 replicates)"" vs ""GBM39 cells treated with DMSO (2 replicates)"", coppia appaiata sul materiale."
GSE158814,C,altro,"Differenza di sola grafia del controllo ('Untreated' contro 'untreated'), stesso trattato 'IFN-γ stimulation (44hrs)'."
GSE158923,C,altro,"'Granuloma Annulare patient, tofacitinib' vs '..., negative control' ora, 'Granuloma Annulare Patient Tofacitinib Treated' vs '... Untreated' prima: in entrambe la malattia sta su tutti e due i bracci, cambia solo come si chiama il controllo."
GSE158969,C,solo la formulazione dell etichetta cambia,Stesso contrasto con altra grafia ('BT-474 Herceptin'→'BT-474 untreated' contro 'BT-474 Herceptin treated'→'BT-474 untreated (control)').
GSE159201,C,l appaiamento del braccio di controllo cambia,"'colon, CK+DCI, SARS-CoV-2, 1 day' vs 'colon, CK+DCI, Mock, 1 day' contro 'colonic organoid, SARS-CoV-2, 1 day' vs 'colonic organoid, mock, 1 day'. Stesso appaiamento per tempo."
GSE159487,A,lo studio entra o esce dal pooling,"USCITO: era 'Neurons - Control - VPA' vs 'Neurons - Control - Vehicle Only', stesso tipo cellulare e stesso genotipo 'Control' sui due bracci, con la sola differenza VPA/veicolo. Assegnazione vecchia corretta, ora persa senza motivo leggibile."
GSE159531,C,lo studio entra o esce dal pooling,"ENTRATO. 'VCaP + 1 nM Testosterone' vs 'VCaP + Control Media' e' appaiato sulla linea e difendibile, ma il riferimento non ha etichetta per questo studio: la scelta non e' decidibile."
GSE159782,C,l appaiamento del braccio di controllo cambia,"Due confronti in entrambe; le etichette nuove sono piu' ricche ma il contrasto e l'appaiamento per soggetto sono identici al riferimento ('Subject 1, IL-3 4h'→'Subject 1, Untreated')."
GSE159851,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""Endothelial cells from brain adenocarcinoma metastasis"" contro ""Healthy endothelial cells (control)"": stesso tipo cellulare sui due bracci, perdita netta."
GSE159894,A,lo studio entra o esce dal pooling,"USCITO: «TNF-α» vs «Untreated», contrasto pulito, ora perso del tutto."
GSE160534,C,solo la formulazione dell etichetta cambia,"Stesse due coppie riscritte ('MDA-MB-231 + THZ1' -> 'MDA-MB-231 treated with THZ1'), controllo veicolo in entrambi i run."
GSE160981,C,l appaiamento del braccio di controllo cambia,"Il riferimento estraeva il braccio dei progenitori neurali, il nuovo estrae endoderma e mesoderma; in entrambe il foglietto germinativo e' appaiato sui due bracci."
GSE161021,C,solo la formulazione dell etichetta cambia,«TNF Stimulation» vs «Control (PBS)» contro «TNF-treated» vs «PBS-treated»: stesso contrasto.
GSE161031,B,lo studio entra o esce dal pooling,"ENTRATO con il veicolo isolato correttamente: 'LPS (100 ng/mL, 4h) + DMSO' vs 'DMSO'."
GSE161087,B,l appaiamento del braccio di controllo cambia,"Da 1 a 2 confronti: entra ""PANC-1 IGF2BP1 Knockdown"" vs ""PANC-1 Control siRNA"", appaiato sulla stessa linea come gia' quello A549."
GSE161176,B,lo studio entra o esce dal pooling,"USCITO, e bene. Tutti e sei i confronti del riferimento erano difettosi sul passaggio ('Passage 26/24/12/9/8/6' tutti contro 'Passage 3', stesso donatore). Il nuovo run li lascia fuori."
GSE161281,A,lo studio entra o esce dal pooling,"USCITO: era 'SARS-CoV-2 infected hESC-derived peripheral neurons' vs 'Uninfected hESC-derived peripheral neurons', materiale identico dichiarato sui due bracci. Assegnazione vecchia corretta, ora persa."
GSE161664,B,altro,"Verificato sul dispatch: nel riferimento lo studio aveva IFNg, IFNa e IL6 ma NON il braccio IFNb; ora il braccio 'IFNb' vs 'Control' esiste ed e' proprio l'entita' dichiarata da questo gruppo. Non e' uno spostamento, e' un braccio in piu' assegnato dove l'etichetta lo manda."
GSE161761,C,l appaiamento del braccio di controllo cambia,Il nuovo aggiunge «TNF for 2 days» accanto a «TNF for 14 days» contro lo stesso «Untreated». Nessuna delle due assegnazioni e' smentita dall'etichetta; dichiaro pero' che il controllo non datato non puo' essere appaiato a due durate.
GSE161800,A,l appaiamento del braccio di controllo cambia,"Correggo il lettore, che dava B. Il riferimento aveva TRE confronti: ""arrested""/""arrested"" (appaiato) piu' due mal appaiati. Il nuovo ne tiene UNO SOLO, ed e' proprio quello mal appaiato (proliferative contro il controllo arrestato), perdendo la coppia pulita e cancellando dall'etichetta la parola che rendeva il difetto leggibile."
GSE161803,C,l appaiamento del braccio di controllo cambia,Le tre coppie appaiate per linea sono identiche; il nuovo aggiunge dose e tempo in etichetta.
GSE161860,A,lo studio entra o esce dal pooling,"ENTRATO: nel riferimento non era poolato, ora entra con 'H2O2 after ATRA differentiation' vs 'Untreated SH-SY5Y', cioe' con l'ATRA su un braccio solo. Il nuovo aggiunge il confronto non appaiato che il vecchio teneva fuori."
GSE161916,C,solo la formulazione dell etichetta cambia,"Divergenza di sola grafia ('IFNa' vs 'Untreated' contro 'IFNa' vs 'untreated'): stesso contrasto, nessuna delle due e' preferibile."
GSE162104,C,lo studio entra o esce dal pooling,"Entrato: nel riferimento non era poolato. Il contrasto e' pertinente (cetuximab contro un controllo di carcinoma colorettale), ma il trattato e' definito da 'medium CD44v6 expression' e il controllo non dichiara stratificazione: l'etichetta non permette di dire se l'ingresso sia un guadagno o un appaiamento sbagliato."
GSE162285,C,l appaiamento del braccio di controllo cambia,Il nuovo aggiunge la coppia appaiata «MDAMB231 xenograft docetaxel» vs «MDAMB231 xenograft vehicle (negative control)» alle tre gia' presenti nel riferimento: tutte appaiate sul modello.
GSE162427,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito (`Calcitriol-treated CLL CD19+ B cells` → `Untreated CLL CD19+ B cells`): il riferimento non lo poolava.
GSE162648,B,lo studio entra o esce dal pooling,"ENTRATO. Quattro confronti appaiati per linea (COLO320DM, OVCAR-4, RKO, UO-31, ciascuna contro se stessa in DMSO); il riferimento non li poolava affatto. Dichiaro che questi quattro confronti da soli valgono quasi tutto il peso del gruppo."
GSE162691,C,solo la formulazione dell etichetta cambia,"Sola riformulazione: ""AD microtissue IL-1Beta"" vs ""Unspecified AD Control"" contro ""Microtissue AD IL-1Beta Treated"" vs ""Unclear Context AD Control"". In entrambe il controllo dichiara di non essere specificato."
GSE162694,B,lo studio entra o esce dal pooling,"ENTRATO con tre confronti sull'entita' e appaiati per materiale ('NASH, Fibrosis Stage 0/1/3' contro 'Normal Liver Histology'); il riferimento non lo poolava in nessuna meta-analisi. Dichiaro che i tre confronti condividono gli stessi 20 controlli e non sono indipendenti."
GSE162696,C,solo la formulazione dell etichetta cambia,Stesso contrasto col fondo miR-141 su entrambi i bracci; cambia l'ordine delle parole.
GSE162828,C,solo la formulazione dell etichetta cambia,Sola riscrittura ('... Patients' vs 'Healthy Controls' contro '... Patient' vs 'Healthy Control (4)').
GSE162834,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito (`DMOG` → `DMSO`): nel riferimento non era poolato in nessuna meta-analisi.
GSE162960,C,l appaiamento del braccio di controllo cambia,"Il riferimento aveva un confronto, ora due (Sample 1 e Sample 2) contro lo stesso controllo dello stesso donatore. L'etichetta non dice se i due campioni siano repliche dello stesso pezzo o lesioni distinte: entrambe le costruzioni sono difendibili."
GSE163196,C,altro,"Il controllo passa da 'Healthy Patient 10' a 'Healthy Patient 7'. In un caso-controllo i soggetti sono diversi per disegno in entrambe le versioni, e l'etichetta non dice quale sano sia il compagno giusto."
GSE163241,C,altro,"Contraddizione non risolvibile: il braccio 72h e' letto 'passage 13' nel riferimento e 'passage 12' ora. Il nuovo run aggiunge un confronto pulito (passage 12 contro passage 12) ma ne tiene uno difettoso; il riferimento ne aveva uno solo, difettoso. L'etichetta non dice quale lettura del passaggio sia fedele alla sorgente."
GSE163333,B,lo studio entra o esce dal pooling,"ENTRATO con ""Hypoxia"" contro ""Normoxia"": confronto pulito che il riferimento perdeva."
GSE163377,C,l appaiamento del braccio di controllo cambia,"Il riferimento aveva il solo confronto a 10h, ora ci sono anche le 20h; entrambi appaiati per tempo. Differenza di copertura."
GSE163539,A,lo studio entra o esce dal pooling,"USCITO; era 'DHT-treated LNCaP cells' contro 'DMSO-treated LNCaP cells', appaiato."
GSE163548,C,solo la formulazione dell etichetta cambia,"Ora l'articolazione e' dichiarata sui due bracci e si aggiunge il ginocchio; nel riferimento il codice donatore stava solo sul controllo. Nessuna delle due etichette prova un difetto: il nuovo e' piu' esplicito e copre di piu', ma non corregge un errore provato."
GSE163827,C,altro,Stessa coppia con etichetta piu' estesa su entrambi i lati; nessun cambio di contrasto.
GSE163959,C,altro,"Ora LS4/LM4, LS5/LM5 e 'Lung Tissue SARS-CoV-2 Infected'/'LM7 Mock Infected'; nel riferimento LS4/LM4, LS5/LM5, LS6/LM6 e 'Nasal Turbinate'/'TM2'. Le sigle non dicono quale abbinamento infetto-mock sia quello voluto."
GSE164073,C,l appaiamento del braccio di controllo cambia,"Ora solo 'Sclera_SARS-CoV-2' vs 'Sclera_mock'; nel riferimento anche 'Limbus_SARS-CoV-2' vs 'Limbus_mock'. Entrambi appaiati per sede: il nuovo perde copertura, non correttezza."
GSE164088,C,cambia la granularita: etichetta piu ricca o piu povera,"Stesso confronto, il riferimento specificava l'origine ('CAFs (ovarian)') su entrambi i lati: equivalenti."
GSE164332,C,altro,"Ora entrambe le righe dicono 'COVID-19 Frontal Cortex' vs 'Healthy Control Frontal Cortex' (identiche fra loro), prima erano 'COVID-19 Frontal Cortex' e 'COVID-19 Frontal Cortex 3' contro 'Control Frontal Cortex 2'. Stessa sede sui due bracci in tutte e due; la nuova perde la distinzione fra le due righe."
GSE164359,C,altro,"Il riferimento aveva tre confronti (incluso 'Recurrent Hepatocellular Carcinoma'), ora due: tutti HCC contro fegato adiacente. Differenza di copertura."
GSE164541,C,cambia quali confronti dello studio sopravvivono,"Le due esecuzioni si contraddicono sull'attribuzione dei campioni: GSM5013481/483/484 sono il 'paziente 2' nel riferimento e diventano 'Patient 1' ora. Il riferimento produce cosi' un tumore del paziente 2 contro il normale del paziente 1 (forma caso-controllo, non un difetto provato, e comunque l'unico normale disponibile); il nuovo produce due righe dello stesso paziente sullo stesso controllo. Nessuna etichetta permette di dire quale attribuzione sia vera: entrambe difendibili, e il nuovo poola una riga in meno (2 contro 3)."
GSE164933,A,lo studio entra o esce dal pooling,"USCITO; era 'THZ1' contro 'DMSO', appaiato."
GSE165246,A,lo studio entra o esce dal pooling,"USCITO; era 'LNCaP + DHT' contro 'LNCaP + vehicle', appaiato."
GSE165461,A,altro,"Nel riferimento era 'COVID-19 Untreated' vs 'Healthy Control', caso-controllo pulito e con entrambi i bracci non trattati; ora non e' poolato in nessuna meta-analisi."
GSE165512,B,lo studio entra o esce dal pooling,"ENTRATO con due coppie appaiate per sede (""Colon CD"" contro ""Colon Healthy"", ""Ileum CD"" contro ""Ileum Healthy"") che il riferimento non poolava."
GSE165543,B,lo studio entra o esce dal pooling,"ENTRATO in una meta-analisi che nel riferimento non esisteva affatto, con un confronto appaiato ('GSK-343' vs 'DMSO')."
GSE165548,B,lo studio entra o esce dal pooling,"USCITO a ragione: «Gemcitabine + Radiotherapy» vs «Control - No irradiation - No treatment» aggiunge la radioterapia solo nel trattato, quindi non isolava la gemcitabina."
GSE165585,C,altro,"Il riferimento diceva «Control (untreated)», il nuovo «Parent Oral Cancer Cell Line»: il nuovo e' meno chiaro e apre il dubbio parentale-vs-derivata, ma nessuna delle due etichette prova un difetto ne' identifica un insieme di campioni diverso."
GSE166214,C,altro,"Stessi due confronti; ora 'Retinoic Acid Treated (30 uM) Neuroblastoma' vs 'DMSO Control Neuroblastoma', prima 'SH-SY5Y Retinoic Acid (30 uM)' vs 'SH-SY5Y Control (DMSO)'. In tutte e due le versioni le due righe sono indistinguibili fra loro; il nuovo perde in piu' il nome della linea."
GSE166268,B,lo studio entra o esce dal pooling,"USCITO, e bene: il confronto del riferimento era ""NK cells, IL-15, donor 445, D1"" contro ""NK cells, freshly isolated, donor 445, D0"", cioe' cellule coltivate un giorno contro cellule appena isolate — tempo e stato di coltura dichiaratamente non appaiati."
GSE166617,A,lo studio entra o esce dal pooling,USCITO: «BRAFi resistant SkMel28 + Dasatinib» vs «BRAFi resistant SkMel28 + untreated» e' appaiato sul fondo fenotipico e ora non e' poolato.
GSE168468,B,lo studio entra o esce dal pooling,"ENTRATO con quattro coppie appaiate nel tempo ('LPS (4h)' vs 'RPMI media (4h)', 'LPS (24h)' vs 'RPMI media (24h)')."
GSE168527,A,lo studio entra o esce dal pooling,USCITO: portava due coppie appaiate per sottopopolazione ('KIR- CD8 T multiple sclerosis' vs 'KIR- CD8 T healthy' e la gemella KIR+); ora non e' poolato. Dato pulito perso.
GSE168670,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'shControl_puro/shControl_neo + R1881' vs '... + Ethanol' contro la versione del riferimento con '(prostate cancer)'. Stesso contrasto.
GSE168705,A,lo studio entra o esce dal pooling,USCITO: 'Obese' vs 'Control' era un caso-controllo pulito; ora non e' poolato.
GSE169241,B,lo studio entra o esce dal pooling,"USCITO: era 'human heart, SARS-CoV-2 infected person' vs 'human ES-derived macrophage, No treatment' — cuore di paziente contro macrofago da cellule ES. Il nuovo fa bene a non poolarlo."
GSE171073,C,l appaiamento del braccio di controllo cambia,"Cambia il modello PDX poolato (Gar15-13 ora, HCI005 nel riferimento): entrambi appaiati per modello."
GSE171170,C,lo studio cambia gruppo / entita,"SPOSTATO: nel riferimento lo studio dava `IL-17A (100 ng/ml)` → `PBS` e `TNF (10 ng/ml)` → `PBS`, ora da' `TWEAK (100 ng/ml)` → `PBS`. Tutte e tre le etichette sono pulite e appaiate; l'etichetta non basta per stabilire se sia un terzo braccio recuperato o la stessa colonna letta come un'altra citochina."
GSE171260,C,l appaiamento del braccio di controllo cambia,"""MLN4924-treated human SCLC-derived PDX"" vs ""Vehicle-treated human SCLC-derived PDX"" contro ""FHSC39 MLN4924"" vs ""FHSC39 Vehicle"": entrambe appaiate trattato/veicolo, la nuova e' solo meno specifica sul modello."
